archive,seed,fold,token,vehicle,attacker
GridSybil_0709,0,train,2f89064712e8bb51,22089,0
GridSybil_0709,0,train,d742009c628c92d3,12507,0
GridSybil_0709,0,train,2c7bd0e3721f34e1,12423,0
GridSybil_0709,0,train,9f4ae5097006f53b,10521,0
GridSybil_0709,0,train,c0454b3d7af399e3,10611,1
GridSybil_0709,0,train,9d4910b857005579,24213,1
GridSybil_0709,0,train,6e55e7a8769e14a5,21627,0
GridSybil_0709,0,train,a6d8d9c6b4f16112,24009,0
GridSybil_0709,0,train,fb0354f5dd90ae42,11865,0
GridSybil_0709,0,train,c93b857ad90e290e,13149,0
GridSybil_0709,0,train,3f02aec4c6b8d92e,10629,0
GridSybil_0709,0,train,f0cfb7df72817e8f,21423,0
GridSybil_0709,0,train,e9fc7ebec71b0088,10899,0
GridSybil_0709,0,train,ffc92ceaca439b16,11283,0
GridSybil_0709,0,train,e3ba921edc7f4597,23709,0
GridSybil_0709,0,train,6cd5349e5c08b4c9,11487,0
GridSybil_0709,0,train,603bacf91c08ba49,21489,0
GridSybil_0709,0,train,86cefab4faf2a5f1,12579,0
GridSybil_0709,0,train,1360b3cd9b31a3a2,10503,0
GridSybil_0709,0,train,6eb2c32b193e9214,11967,0
GridSybil_0709,0,train,407e124e2d850a21,11439,0
GridSybil_0709,0,train,2722a4ec186b7c36,11019,0
GridSybil_0709,0,train,fd714d727de1301a,22041,0
GridSybil_0709,0,train,cec3b2072a1c434f,10821,0
GridSybil_0709,0,train,8547c46a1f9418d1,23583,0
GridSybil_0709,0,train,92139e2e0272404e,22257,0
GridSybil_0709,0,train,ee40b8d1e37a95d6,21243,0
GridSybil_0709,0,train,1b45b7fb764f8b61,11457,0
GridSybil_0709,0,train,8af60cce9ff802f4,12681,0
GridSybil_0709,0,train,af6a2f1cc87867b9,10563,0
GridSybil_0709,0,train,55abf551f80c7b60,11379,0
GridSybil_0709,0,train,b49f3fc1e6ea91f2,23907,0
GridSybil_0709,0,train,2f3d42fb81166533,21669,0
GridSybil_0709,0,train,a8b21b46fd1bda6c,22959,0
GridSybil_0709,0,train,a183af7e2dec91cf,23079,0
GridSybil_0709,0,train,41c8b2e454d09487,23049,0
GridSybil_0709,0,train,6dac178b64cc50fe,22263,0
GridSybil_0709,0,train,ea2ee4c21927135b,22245,0
GridSybil_0709,0,train,744c9a6eef8a7345,23199,0
GridSybil_0709,0,train,b02637a521121d21,10941,0
GridSybil_0709,0,train,4aab92883a94765e,24051,1
GridSybil_0709,0,train,ecaf965f7e77c51d,22341,0
GridSybil_0709,0,train,88dd3363f956004a,22287,0
GridSybil_0709,0,train,d06c292d0acc4c9a,11739,0
GridSybil_0709,0,train,a0823cf99f409084,10395,0
GridSybil_0709,0,train,6332040abb242011,10725,0
GridSybil_0709,0,train,adee5cb25ed26d9b,23997,0
GridSybil_0709,0,train,72e308084e412535,10857,0
GridSybil_0709,0,train,1e9dab5225d1d375,10431,0
GridSybil_0709,0,train,f76b2a3bc6974e11,21381,0
GridSybil_0709,0,train,c64547c382ec8669,24483,0
GridSybil_0709,0,train,c5e79d347ce7160d,21783,0
GridSybil_0709,0,train,57f25d6fc7d42455,23637,0
GridSybil_0709,0,train,513658115d2280a9,11145,0
GridSybil_0709,0,train,9342ba1916f97e2a,12309,0
GridSybil_0709,0,train,2927299a3a9bbe37,11505,0
GridSybil_0709,0,train,f823d53e8e66b6cf,11469,0
GridSybil_0709,0,train,a9b7fe9422697a7b,23943,0
GridSybil_0709,0,train,c7037e1e9672ea5e,10917,0
GridSybil_0709,0,train,424cc15880a94c98,10863,0
GridSybil_0709,0,train,952e9f16adcf58e8,23493,1
GridSybil_0709,0,train,d3c9d9df9f856ce6,21903,0
GridSybil_0709,0,train,f9b6056e3b2ca144,22419,0
GridSybil_0709,0,train,3006fe38d0c37414,21525,0
GridSybil_0709,0,train,2afaf0703950d894,21369,0
GridSybil_0709,0,train,228f33c4bbd8e1a6,22527,0
GridSybil_0709,0,train,ba14eeb3435ad488,23757,0
GridSybil_0709,0,train,417210699a08e989,24189,0
GridSybil_0709,0,train,2d02220c99d54349,23949,0
GridSybil_0709,0,train,5b16f22fe0783625,22407,0
GridSybil_0709,0,train,85b79ab88c2c4a74,21735,1
GridSybil_0709,0,train,8e46f103d9d26820,12357,0
GridSybil_0709,0,train,d67a3b45f0263b40,24345,0
GridSybil_0709,0,train,e3611853e91928a5,10959,0
GridSybil_0709,0,train,ed162f2e2979a0ee,24327,0
GridSybil_0709,0,train,d0cb7fe11641049d,11847,0
GridSybil_0709,0,train,d52a8719cf3d1315,23589,0
GridSybil_0709,0,train,e092655ad685f48a,23469,0
GridSybil_0709,0,train,2f846c68604a631b,23109,0
GridSybil_0709,0,train,297510dc66323b6e,11547,0
GridSybil_0709,0,train,9e10a4cf9a6a4ca6,21867,0
GridSybil_0709,0,train,2680e1816de8429c,23547,0
GridSybil_0709,0,train,cf98284499e98c39,12729,0
GridSybil_0709,0,train,4f80533cd58b311f,23763,0
GridSybil_0709,0,train,8f795c197e297aa4,11043,0
GridSybil_0709,0,train,de0b610f4d06e7e5,12183,0
GridSybil_0709,0,train,ec9de7ccc9ecbd30,24117,0
GridSybil_0709,0,train,568314a17e5c789f,12909,0
GridSybil_0709,0,train,6637f9d19bd4f23f,22977,0
GridSybil_0709,0,train,80b47d3dd69e366b,22029,0
GridSybil_0709,0,train,ea880eee6214fa62,24339,0
GridSybil_0709,0,train,d7173ce2379ec872,23457,0
GridSybil_0709,0,train,e3e0f438bec375da,24027,0
GridSybil_0709,0,train,27781924688026ed,23163,0
GridSybil_0709,0,train,a81f8844a96250ee,10599,0
GridSybil_0709,0,train,9bec5b3625dfdd08,22743,0
GridSybil_0709,0,train,47c7d8cb15b96a1c,24561,0
GridSybil_0709,0,train,1803765026c4df62,21561,0
GridSybil_0709,0,train,3175e8c5d6275919,24597,0
GridSybil_0709,0,train,a0579358626aa40f,24459,0
GridSybil_0709,0,train,cf10c4c359d10850,12867,0
GridSybil_0709,0,train,8319cf5ece96d056,10413,0
GridSybil_0709,0,train,df1e4bc6453134eb,21885,0
GridSybil_0709,0,train,ae103670c3dd5d2c,22563,0
GridSybil_0709,0,train,bc6b2503326c02d2,10623,0
GridSybil_0709,0,train,75d6f64562112a62,11481,0
GridSybil_0709,0,train,14558751ba3ee240,10431,0
GridSybil_0709,0,train,f3bfd0f217f95e24,23181,0
GridSybil_0709,0,train,ef8e00b576ce222f,23625,0
GridSybil_0709,0,train,e3c32308846ef11e,23223,0
GridSybil_0709,0,train,1938a927407ca6fb,11769,0
GridSybil_0709,0,train,1e59c686aa8f4c79,11085,0
GridSybil_0709,0,train,2db91e197540f4d3,21723,0
GridSybil_0709,0,train,95d76ee9a3c09678,23679,0
GridSybil_0709,0,train,0302a0948ed1bb20,13077,0
GridSybil_0709,0,train,79f8531061274064,21357,0
GridSybil_0709,0,train,feedb4e201a74b3c,22005,0
GridSybil_0709,0,train,b5e991fa4e9170fe,11325,0
GridSybil_0709,0,train,817b6152e2c93aea,12237,0
GridSybil_0709,0,train,8772cac000eb9b49,11265,0
GridSybil_0709,0,train,8038b8a7e17fb3e3,11985,0
GridSybil_0709,0,train,fcb45c4e28b11d60,11097,0
GridSybil_0709,0,train,b1e981e6017bd7e0,12225,0
GridSybil_0709,0,train,041280da460bc312,12783,0
GridSybil_0709,0,train,8c52ac5028bc4199,12669,0
GridSybil_0709,0,train,9061db9b55315a4e,23649,0
GridSybil_0709,0,train,7a7ab0afd86a3322,22761,0
GridSybil_0709,0,train,455da943386bfe93,12765,0
GridSybil_0709,0,train,61eb2dc46767a9b6,11763,0
GridSybil_0709,0,train,a5dd98ef3ea32fa6,11463,0
GridSybil_0709,0,train,f7bd306240058964,11079,0
GridSybil_0709,0,train,507d4e6b1cf7f10c,24165,0
GridSybil_0709,0,train,0762c8c1d5bd79a5,21939,0
GridSybil_0709,0,train,1cad28ce26c11480,21735,1
GridSybil_0709,0,train,b0931faa5256e945,23283,0
GridSybil_0709,0,train,9efefc432785f0dd,11007,0
GridSybil_0709,0,train,70d2fa43f1466d30,11979,0
GridSybil_0709,0,train,53e87a1fb0abd78f,10461,0
GridSybil_0709,0,train,f00be15e464034bf,22665,0
GridSybil_0709,0,train,1390d67e31c51140,22299,0
GridSybil_0709,0,train,2a5304f40ee6cbbc,11289,0
GridSybil_0709,0,train,2698c435fe6050a0,23097,0
GridSybil_0709,0,train,32bff070232fde13,10845,0
GridSybil_0709,0,train,9afe35ab7bbf8d16,23805,0
GridSybil_0709,0,train,ebbed9202a47fcf6,12945,0
GridSybil_0709,0,train,79cac89789230b22,11229,0
GridSybil_0709,0,train,71cda1854759c08b,10719,0
GridSybil_0709,0,train,bb179342858e4bbb,23769,0
GridSybil_0709,0,train,64502f6c806a46f3,23205,0
GridSybil_0709,0,train,87c063f1fee9553e,10749,0
GridSybil_0709,0,train,8b0b01e23e279fe7,22323,0
GridSybil_0709,0,train,32f4b5047efa9e29,10431,0
GridSybil_0709,0,train,cb1531a0253315a2,22455,1
GridSybil_0709,0,train,8bd2996d49cf29f9,12963,0
GridSybil_0709,0,train,22e32ed9139c480f,22017,0
GridSybil_0709,0,train,0db52bee10c340ac,11829,0
GridSybil_0709,0,train,389638aba1ebcf4d,24399,0
GridSybil_0709,0,train,1f7816b09e4c3f8a,22857,0
GridSybil_0709,0,train,82ccc14e884b9fbe,12219,0
GridSybil_0709,0,train,cbead705b52d97c6,21777,0
GridSybil_0709,0,train,14e2615bd0d5cf38,24177,0
GridSybil_0709,0,train,df63b794862efae4,22683,0
GridSybil_0709,0,train,15147846a733f7c4,23529,0
GridSybil_0709,0,train,c0dec5dcb771d773,23739,0
GridSybil_0709,0,train,f38b4702b23032f5,21645,0
GridSybil_0709,0,train,88282e7aed78af02,10413,0
GridSybil_0709,0,train,daec33b0d5f06de4,12687,0
GridSybil_0709,0,train,658164ec9d4ef859,23781,0
GridSybil_0709,0,train,5c7f89fe1fed1e2a,11781,0
GridSybil_0709,0,train,87a1aa2afd7b7d4f,11247,0
GridSybil_0709,0,train,e84c21209fc4a744,11109,0
GridSybil_0709,0,train,7edb55b91addcbd7,22197,0
GridSybil_0709,0,train,021ba35f139c5260,24465,0
GridSybil_0709,0,train,3ee5c987db7e0e6b,11919,0
GridSybil_0709,0,train,165b9ab441272086,23559,0
GridSybil_0709,0,train,2ee007c0380b96d4,21285,0
GridSybil_0709,0,train,311f5c22e3acf651,10743,0
GridSybil_0709,0,train,193b3ff847ff7037,11523,0
GridSybil_0709,0,train,0799774113fc90b1,24567,0
GridSybil_0709,0,train,d943b28b7a16e86d,12003,0
GridSybil_0709,0,train,196f91a5558f2fff,22929,0
GridSybil_0709,0,train,8efebd02702731ab,23607,0
GridSybil_0709,0,train,28d7b19365fe8ba9,22707,0
GridSybil_0709,0,train,9594f2da08bd5ea3,10905,0
GridSybil_0709,0,train,6660012c801ab2c8,21819,0
GridSybil_0709,0,train,c6721c0e5c682794,21945,0
GridSybil_0709,0,train,6f241839096f7b5b,13137,0
GridSybil_0709,0,train,d85da1d5074bcf40,11907,0
GridSybil_0709,0,train,8162ccc9e4a4004b,22863,0
GridSybil_0709,0,train,38ec9fa2246bff54,24147,0
GridSybil_0709,0,train,65ab48d7f8d6e189,11103,0
GridSybil_0709,0,train,fe3f8e0774154280,23349,0
GridSybil_0709,0,train,62a36aa5922a72d8,21963,0
GridSybil_0709,0,train,40c556b7a6dafa2b,23919,0
GridSybil_0709,0,train,e918d9ab4ac17207,12621,0
GridSybil_0709,0,train,56723860d92b1fb8,12897,0
GridSybil_0709,0,train,1fd4ea4975e09c3e,12537,0
GridSybil_0709,0,train,e8d836c7651037fa,23967,0
GridSybil_0709,0,train,b97a893836e05be9,12249,0
GridSybil_0709,0,train,c12a26c568886974,10881,0
GridSybil_0709,0,train,5823b545fd0b7461,21699,0
GridSybil_0709,0,train,c0445a2253fd7c42,11157,0
GridSybil_0709,0,train,0bcf568de23b6339,12801,0
GridSybil_0709,0,train,0fc90d605fc2dd7d,21837,0
GridSybil_0709,0,train,145985e63190c12c,23337,0
